ítem,Descripción,Unidad,RCMI 110 10,RCMI 110 10 CS,RCMI 110 10 CD,RCMI 110 20,RCMI 110 20 CS,RCMI 110 20 CD,RCMI 110 30,RCMI 110 30 CS,RCMI 110 30 CD,RCMI 48 10,RCMI 48 10 CS,RCMI 48 10 CD,RCMI 48 20,RCMI 48 20 CS,RCMI 48 20 CD,RCMI 48 30,RCMI 48 30 CS,RCMI 48 30 CD,RCMI 24 10,RCMI 24 10 CS,RCMI 24 10 CD,RCMI 24 20,RCMI 24 20 CS,RCMI 24 20 CD,RCMI 24 30,RCMI 24 30 CS,RCMI 24 30 CD
1,Generales,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,Código de Producto,-,RCMI-110-10,RCMI-110-10-CS,RCMI-110-10-CD,RCMI-110-20,RCMI-110-20-CS,RCMI-110-20-CD,RCMI-110-30,RCMI-110-30-CS,RCMI-110-30-CD,RCMI-48-10,RCMI-48-10-CS,RCMI-48-10-CD,RCMI-48-20,RCMI-48-20-CS,RCMI-48-20-CD,RCMI-48-30,RCMI-48-30-CS,RCMI-48-30-CD,RCMI-24-10,RCMI-24-10-CS,RCMI-24-10-CD,RCMI-24-20,RCMI-24-20-CS,RCMI-24-20-CD,RCMI-24-30,RCMI-24-30-CS,RCMI-24-30-CD
1.2,Marca,-,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC
1.3,Modelo,-,RCMI-110-10,RCMI-110-10-CS,RCMI-110-10-CD,RCMI-110-20,RCMI-110-20-CS,RCMI-110-20-CD,RCMI-110-30,RCMI-110-30-CS,RCMI-110-30-CD,RCMI-48-10,RCMI-48-10-CS,RCMI-48-10-CD,RCMI-48-20,RCMI-48-20-CS,RCMI-48-20-CD,RCMI-48-30,RCMI-48-30-CS,RCMI-48-30-CD,RCMI-24-10,RCMI-24-10-CS,RCMI-24-10-CD,RCMI-24-20,RCMI-24-20-CS,RCMI-24-20-CD,RCMI-24-30,RCMI-24-30-CS,RCMI-24-30-CD
1.4,Normas de Fabricacion,-,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551
1.5,Origen,-,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina
1.6,Tipo,-,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado
1.7,Apto para baterías Pb-Ac y Ni-Cd,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Condiciones ambientales de servicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
