ítem,Descripción,Unidad,RCTI-110-15,RCTI-110-15-CS,RCTI-110-15-CD,RCTI-110-30,RCTI-110-30-CS,RCTI-110-30-CD,RCTI-110-50,RCTI-110-50-CS,RCTI-110-50-CD,RCTI-110-70,RCTI-110-70-CS,RCTI-110-70-CD,RCTI-110-100,RCTI-110-100-CS,RCTI-110-100-CD,RCTI-110-150,RCTI-110-150-CS,RCTI-110-150-CD,RCTI-48-15,RCTI-48-15-CS,RCTI-48-15-CD,RCTI-48-30,RCTI-48-30-CS,RCTI-48-30-CD,RCTI-48-40,RCTI-48-40-CS,RCTI-48-40-CD,RCTI-48-50,RCTI-48-50-CS,RCTI-48-50-CD,RCTI-48-70,RCTI-48-70-CS,RCTI-48-70-CD,RCTI-48-100,RCTI-48-100-CS,RCTI-48-100-CD,RCTI-48-150,RCTI-48-150-CS,RCTI-48-150-CD,RCTI-24-15,RCTI-24-15-CS,RCTI-24-15-CD,RCTI-24-30,RCTI-24-30-CS,RCTI-24-30-CD,RCTI-24-40,RCTI-24-40-CS,RCTI-24-40-CD,RCTI-24-50,RCTI-24-50-CS,RCTI-24-50-CD,RCTI-24-70,RCTI-24-70-CS,RCTI-24-70-CD,RCTI-24-100,RCTI-24-100-CS,RCTI-24-100-CD,RCTI-24-150,RCTI-24-150-CS,RCTI-24-150-CD
1,Generales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,Código de Producto,-,RCTI-110-15,RCTI-110-15-CS,RCTI-110-15-CD,RCTI-110-30,RCTI-110-30-CS,RCTI-110-30-CD,RCTI-110-50,RCTI-110-50-CS,RCTI-110-50-CD,RCTI-110-70,RCTI-110-70-CS,RCTI-110-70-CD,RCTI-110-100,RCTI-110-100-CS,RCTI-110-100-CD,RCTI-110-150,RCTI-110-150-CS,RCTI-110-150-CD,RCTI-48-15,RCTI-48-15-CS,RCTI-48-15-CD,RCTI-48-30,RCTI-48-30-CS,RCTI-48-30-CD,RCTI-48-40,RCTI-48-40-CS,RCTI-48-40-CD,RCTI-48-50,RCTI-48-50-CS,RCTI-48-50-CD,RCTI-48-70,RCTI-48-70-CS,RCTI-48-70-CD,RCTI-48-100,RCTI-48-100-CS,RCTI-48-100-CD,RCTI-48-150,RCTI-48-150-CS,RCTI-48-150-CD,RCTI-24-15,RCTI-24-15-CS,RCTI-24-15-CD,RCTI-24-30,RCTI-24-30-CS,RCTI-24-30-CD,RCTI-24-40,RCTI-24-40-CS,RCTI-24-40-CD,RCTI-24-50,RCTI-24-50-CS,RCTI-24-50-CD,RCTI-24-70,RCTI-24-70-CS,RCTI-24-70-CD,RCTI-24-100,RCTI-24-100-CS,RCTI-24-100-CD,RCTI-24-150,RCTI-24-150-CS,RCTI-24-150-CD
1.2,Marca,-,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC,SERVELEC
1.3,Modelo,-,RCTI-110-15,RCTI-110-15-CS,RCTI-110-15-CD,RCTI-110-30,RCTI-110-30-CS,RCTI-110-30-CD,RCTI-110-50,RCTI-110-50-CS,RCTI-110-50-CD,RCTI-110-70,RCTI-110-70-CS,RCTI-110-70-CD,RCTI-110-100,RCTI-110-100-CS,RCTI-110-100-CD,RCTI-110-150,RCTI-110-150-CS,RCTI-110-150-CD,RCTI-48-15,RCTI-48-15-CS,RCTI-48-15-CD,RCTI-48-30,RCTI-48-30-CS,RCTI-48-30-CD,RCTI-48-40,RCTI-48-40-CS,RCTI-48-40-CD,RCTI-48-50,RCTI-48-50-CS,RCTI-48-50-CD,RCTI-48-70,RCTI-48-70-CS,RCTI-48-70-CD,RCTI-48-100,RCTI-48-100-CS,RCTI-48-100-CD,RCTI-48-150,RCTI-48-150-CS,RCTI-48-150-CD,RCTI-24-15,RCTI-24-15-CS,RCTI-24-15-CD,RCTI-24-30,RCTI-24-30-CS,RCTI-24-30-CD,RCTI-24-40,RCTI-24-40-CS,RCTI-24-40-CD,RCTI-24-50,RCTI-24-50-CS,RCTI-24-50-CD,RCTI-24-70,RCTI-24-70-CS,RCTI-24-70-CD,RCTI-24-100,RCTI-24-100-CS,RCTI-24-100-CD,RCTI-24-150,RCTI-24-150-CS,RCTI-24-150-CD
1.4,Normas de Fabricacion,-,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551,DIN41772/73 - IEC61558 - IEC60076-11 - IEC60529 - IEC60146 - IRAM2166 - IRAM2444 - IRAM2276 - DIN-VDE 0551
1.5,Origen,-,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina
1.6,Tipo,-,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado,Autorregulado
1.7,Apto para baterías Pb-Ac y Ni-Cd,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
